Features,Weights
fam20c_mut,0.0
arid5b_mut,0.0
egfr_mut,0.0
map3k10_mut,0.0
smarcc2_mut,0.0
erbb4_mut,0.0
npnt_mut,0.0
nek1_mut,0.0
agmo_mut,0.0
zfp36l1_mut,0.0
smad4_mut,0.0
sik1_mut,0.0
casp8_mut,0.0
prkcq_mut,0.0
smarcc1_mut,0.0
palld_mut,0.0
dcaf4l2_mut,0.0
bcas3_mut,0.0
cdkn1b_mut,0.0
gps2_mut,0.0
men1_mut,0.0
stk11_mut,0.0
sik2_mut,0.0
ptpn22_mut,0.0
brip1_mut,0.0
flt3_mut,0.0
nrg3_mut,0.0
fbxw7_mut,0.0
ttyh1_mut,0.0
taf4b_mut,0.0
or6a2_mut,0.0
map3k13_mut,0.0
hdac9_mut,0.0
prkacg_mut,0.0
rpgr_mut,0.0
large1_mut,0.0
foxp1_mut,0.0
clk3_mut,0.0
prkcz_mut,0.0
lipi_mut,0.0
ppp2r2a_mut,0.0
prkce_mut,0.0
gh1_mut,0.0
gpr32_mut,0.0
kras_mut,0.0
nf2_mut,0.0
chek2_mut,0.0
ldlrap1_mut,0.0
clrn2_mut,0.0
acvrl1_mut,0.0
agtr2_mut,0.0
cdkn2a_mut,0.0
ctnna1_mut,0.0
magea8_mut,0.0
prr16_mut,0.0
dtwd2_mut,0.0
akt2_mut,0.0
braf_mut,0.0
foxo1_mut,0.0
nt5e_mut,0.0
ccnd3_mut,0.0
nr3c1_mut,0.0
prkg1_mut,0.0
tbl1xr1_mut,0.0
frmd3_mut,0.0
smad2_mut,0.0
sgcd_mut,0.0
spaca1_mut,0.0
rasgef1b_mut,0.0
hist1h2bc_mut,0.0
nr2f1_mut,0.0
klrg1_mut,0.0
mbl2_mut,0.0
mtap_mut,0.0
ppp2cb_mut,0.0
smarcd1_mut,0.0
nras_mut,0.0
ndfip1_mut,0.0
hras_mut,0.0
prps2_mut,0.0
smarcb1_mut,0.0
stmn2_mut,0.0
siah1_mut,0.0
sdc4,-0.0005305039787797839
chek2,-0.000530503978779806
jak1,-0.000530503978779806
ctbp1,-0.000530503978779806
pdgfa,-0.000530503978779806
pik3r2,-0.000530503978779806
raf1,-0.000530503978779806
rps6kb2,-0.000530503978779806
tert,-0.000530503978779806
tgfb1,-0.000530503978779806
wfdc2,-0.000530503978779806
kmt2c,-0.000530503978779806
ptprd,-0.000530503978779806
lama2,-0.000530503978779806
myo1a,-0.000530503978779806
prkcq,-0.000530503978779806
zfp36l1,-0.000530503978779806
hsd17b13,-0.000530503978779806
palb2,-0.0005305039787798282
pten,-0.0005305039787798282
mlh1,-0.0005305039787798282
rb1,-0.0005305039787798282
e2f2,-0.0005305039787798282
mdm2,-0.0005305039787798282
adam17,-0.0005305039787798282
aph1b,-0.0005305039787798282
dtx1,-0.0005305039787798282
hes1,-0.0005305039787798282
itch,-0.0005305039787798282
notch1,-0.0005305039787798282
notch2,-0.0005305039787798282
hey2,-0.0005305039787798282
acvr1c,-0.0005305039787798282
bcl2l1,-0.0005305039787798282
bmp6,-0.0005305039787798282
eif4ebp1,-0.0005305039787798282
erbb3,-0.0005305039787798282
folr2,-0.0005305039787798282
itgav,-0.0005305039787798282
itgb3,-0.0005305039787798282
mapk4,-0.0005305039787798282
mmp1,-0.0005305039787798282
mmp12,-0.0005305039787798282
mmp13,-0.0005305039787798282
peg3,-0.0005305039787798282
pik3r1,-0.0005305039787798282
smad1,-0.0005305039787798282
smad5,-0.0005305039787798282
kmt2d,-0.0005305039787798282
cyp3a4,-0.0005305039787798282
arid2,-0.0005305039787798282
asxl1,-0.0005305039787798282
dnah11,-0.0005305039787798282
dnah2,-0.0005305039787798282
fancd2,-0.0005305039787798282
flt3,-0.0005305039787798282
herc2,-0.0005305039787798282
l1cam,-0.0005305039787798282
map3k10,-0.0005305039787798282
mtap,-0.0005305039787798282
pbrm1,-0.0005305039787798282
setdb1,-0.0005305039787798282
stab2,-0.0005305039787798282
tbl1xr1,-0.0005305039787798282
thsd7a,-0.0005305039787798282
ttyh1,-0.0005305039787798282
utrn,-0.0005305039787798282
akr1c2,-0.0005305039787798282
cyp19a1,-0.0005305039787798282
ddc,-0.0005305039787798282
hes6,-0.0005305039787798282
hsd17b1,-0.0005305039787798282
hsd17b6,-0.0005305039787798282
ncoa2,-0.0005305039787798282
atr_mut,-0.0005305039787798282
cacna2d3_mut,-0.0005305039787798282
lifr_mut,-0.0005305039787798282
casp8,-0.0010610079575596343
erbb4,-0.0010610079575596343
kdr,-0.0010610079575596343
msh2,-0.0010610079575596564
pms2,-0.0010610079575596564
epcam,-0.0010610079575596564
e2f8,-0.0010610079575596564
tp53bp1,-0.0010610079575596564
dtx3,-0.0010610079575596564
dtx4,-0.0010610079575596564
rbpj,-0.0010610079575596564
spen,-0.0010610079575596564
hes2,-0.0010610079575596564
akt2,-0.0010610079575596564
atr,-0.0010610079575596564
bad,-0.0010610079575596564
bmp3,-0.0010610079575596564
casp9,-0.0010610079575596564
foxo1,-0.0010610079575596564
inhba,-0.0010610079575596564
inhbc,-0.0010610079575596564
map2k1,-0.0010610079575596564
mdc1,-0.0010610079575596564
mmp11,-0.0010610079575596564
rad51,-0.0010610079575596564
rps6kb1,-0.0010610079575596564
smad2,-0.0010610079575596564
tgfbr1,-0.0010610079575596564
pde4dip,-0.0010610079575596564
slco1b3,-0.0010610079575596564
agtr2,-0.0010610079575596564
chd1,-0.0010610079575596564
clrn2,-0.0010610079575596564
dnah5,-0.0010610079575596564
kdm6a,-0.0010610079575596564
ptprm,-0.0010610079575596564
ackr3,-0.0010610079575596564
akr1c1,-0.0010610079575596564
cyp11a1,-0.0010610079575596564
hsd17b14,-0.0010610079575596564
hsd3b2,-0.0010610079575596564
mecom,-0.0010610079575596564
ran,-0.0010610079575596564
shbg,-0.0010610079575596564
srd5a3,-0.0010610079575596564
st7,-0.0010610079575596564
star,-0.0010610079575596564
gata3_mut,-0.0010610079575596564
notch1_mut,-0.0010610079575596564
stat2,-0.0010610079575596788
tp53,-0.0015915119363394848
nf1,-0.0015915119363394848
msh6,-0.0015915119363394848
rbl1,-0.0015915119363394848
ccnd2,-0.0015915119363394848
myc,-0.0015915119363394848
adam10,-0.0015915119363394848
numbl,-0.0015915119363394848
psenen,-0.0015915119363394848
acvrl1,-0.0015915119363394848
arl11,-0.0015915119363394848
bmp15,-0.0015915119363394848
bmp2,-0.0015915119363394848
bmpr1a,-0.0015915119363394848
csf1r,-0.0015915119363394848
cxcl8,-0.0015915119363394848
dlec1,-0.0015915119363394848
dph1,-0.0015915119363394848
eif5a2,-0.0015915119363394848
igf1r,-0.0015915119363394848
izumo1r,-0.0015915119363394848
map2k2,-0.0015915119363394848
map2k4,-0.0015915119363394848
map3k3,-0.0015915119363394848
mapk12,-0.0015915119363394848
mapk3,-0.0015915119363394848
mmp14,-0.0015915119363394848
mmp16,-0.0015915119363394848
mmp19,-0.0015915119363394848
opcml,-0.0015915119363394848
rps6ka2,-0.0015915119363394848
vegfb,-0.0015915119363394848
zfyve9,-0.0015915119363394848
tbx3,-0.0015915119363394848
abcb1,-0.0015915119363394848
abcb11,-0.0015915119363394848
map2,-0.0015915119363394848
mapt,-0.0015915119363394848
aff2,-0.0015915119363394848
alk,-0.0015915119363394848
foxp1,-0.0015915119363394848
frmd3,-0.0015915119363394848
lifr,-0.0015915119363394848
myo3a,-0.0015915119363394848
nt5e,-0.0015915119363394848
prkg1,-0.0015915119363394848
sik2,-0.0015915119363394848
smarcd1,-0.0015915119363394848
cyp3a43,-0.0015915119363394848
hsd17b4,-0.0015915119363394848
hsd17b8,-0.0015915119363394848
hsd3b1,-0.0015915119363394848
ugt2b7,-0.0015915119363394848
cdkn2b,-0.001591511936339507
acvr1b,-0.001591511936339507
eif4e,-0.001591511936339507
rps6,-0.001591511936339507
runx1,-0.001591511936339507
large1,-0.001591511936339507
ubr5,-0.001591511936339507
ush2a,-0.001591511936339507
ccna1,-0.002122015915119313
hdac2,-0.002122015915119313
maml3,-0.002122015915119313
acvr2a,-0.002122015915119313
bmpr1b,-0.002122015915119313
bmpr2,-0.002122015915119313
dab2,-0.002122015915119313
fgf1,-0.002122015915119313
hla.g,-0.002122015915119313
mmp10,-0.002122015915119313
mmp23b,-0.002122015915119313
