Features,Weights
age_at_diagnosis,0.13474801061007957
tumor_size,0.04615384615384614
lymph_nodes_examined_positive,0.01962864721485409
hsd17b13,0.011140583554376682
sf3b1,0.010079575596816982
ubr5,0.00901856763925728
dnah11,0.008488063660477474
stat5a,0.008488063660477451
cdkn2c,0.008488063660477451
e2f6,0.007957559681697623
mmp11,0.0079575596816976
mmp14,0.007427055702917795
mmp9,0.007427055702917795
pam50_._claudin.low_subtype,0.007427055702917773
stat5b,0.007427055702917773
casp8,0.007427055702917773
ccnb1,0.007427055702917751
mmp17,0.007427055702917751
e2f1,0.006896551724137945
jak1,0.006896551724137922
src,0.006366047745358094
aurka,0.006366047745358094
rbpj,0.006366047745358072
cdk1,0.005835543766578244
pdpk1,0.005835543766578244
jak2,0.005835543766578221
map3k5,0.005305039787798416
mmp25,0.005305039787798416
afdn,0.005305039787798416
acvr1c,0.0053050397877983935
rab25,0.0053050397877983935
bbc3,0.0053050397877983935
clrn2,0.0053050397877983935
sik1,0.0053050397877983935
taf1,0.0053050397877983935
akr1c1,0.0053050397877983935
akr1c4,0.0053050397877983935
maml1,0.005305039787798371
mapk9,0.005305039787798371
bmp10,0.004774535809018566
kdr,0.004774535809018566
cohort,0.004774535809018543
integrative_cluster,0.004774535809018543
nottingham_prognostic_index,0.004774535809018543
mlh1,0.004774535809018543
tp53bp1,0.004774535809018543
inhba,0.004774535809018543
smad3,0.004774535809018543
prkcq,0.004774535809018543
hsd17b11,0.004774535809018543
rdh5,0.004774535809018543
e2f8,0.004244031830238715
dll3,0.004244031830238715
casp10,0.004244031830238715
rps6ka1,0.004244031830238715
tgfbr1,0.004244031830238715
sgcd,0.004244031830238715
syne1,0.004244031830238715
e2f7,0.004244031830238693
nfkb1,0.004244031830238693
pdgfb,0.004244031830238693
arid5b,0.004244031830238693
bcas3,0.004244031830238693
hdac2,0.0037135278514588864
pik3ca,0.0037135278514588864
rad50,0.0037135278514588642
aph1a,0.0037135278514588642
notch2,0.0037135278514588642
notch3,0.0037135278514588642
eif4e,0.0037135278514588642
opcml,0.0037135278514588642
rps6kb2,0.0037135278514588642
pbrm1,0.0037135278514588642
siah1,0.0037135278514588642
cyp3a43,0.0037135278514588642
ccnd2,0.003713527851458842
maml2,0.003713527851458842
bmp6,0.003713527851458842
mapk3,0.003713527851458842
pdgfa,0.003713527851458842
rptor,0.003713527851458842
col22a1,0.003713527851458842
fancd2,0.003713527851458842
klrg1,0.003713527851458842
ugt2b15,0.003713527851458842
cul1,0.003183023872679036
flt3,0.003183023872679036
kdm3a,0.003183023872679036
lama2,0.003183023872679036
sbno1,0.003183023872679036
ctbp2,0.003183023872679014
ep300,0.003183023872679014
hes2,0.003183023872679014
cxcl8,0.003183023872679014
cxcr1,0.003183023872679014
erbb2,0.003183023872679014
hras,0.003183023872679014
mmp13,0.003183023872679014
vegfa,0.003183023872679014
arid1a,0.003183023872679014
map4,0.003183023872679014
rasgef1b,0.003183023872679014
ackr3,0.003183023872679014
spry2,0.003183023872679014
nf1,0.0031830238726789917
rb1,0.0031830238726789917
